Season,BetType,Odds,P_Model,Won,Flat_P,Kelly_P,Kelly_S,Flat_S,League
2022,1,10.0,0.1989541788195931,0,-10.0,-27.487271894331414,27.487271894331414,10.0,Bundesliga
2022,X,6.5,0.17972944654249254,0,-10.0,-7.647336478463707,7.647336478463707,10.0,Bundesliga
2022,X,4.33,0.2518953924329796,0,-10.0,-6.809838531141266,6.809838531141266,10.0,Bundesliga
2022,2,3.5,0.3263742184882078,1,25.0,35.57744117718181,14.230976470872726,10.0,Bundesliga
2022,1,4.33,0.32766266555116136,0,-10.0,-31.439890528267913,31.439890528267913,10.0,Bundesliga
2022,X,4.0,0.26879383424356024,0,-10.0,-6.264611414520079,6.264611414520079,10.0,Bundesliga
2022,X,4.0,0.28065607825072175,0,-10.0,-10.218692750240585,10.218692750240585,10.0,Bundesliga
2022,1,3.1,0.36493178567967455,1,21.0,32.82213390174777,15.62958757226084,10.0,Bundesliga
2022,X,9.5,0.1969568248646066,0,-10.0,-25.620289300404792,25.620289300404792,10.0,Bundesliga
2022,1,3.2,0.38206774458956333,1,22.0,55.6541956716507,25.297361668932133,10.0,Bundesliga
2022,2,3.75,0.29487611158609434,0,-10.0,-9.616856222532157,9.616856222532157,10.0,Bundesliga
2022,1,3.4,0.49720852017986683,1,24.0,120.0,50.0,10.0,Bundesliga
2022,X,4.2,0.27215314713908145,1,32.0,35.760804496035526,11.175251405011101,10.0,Bundesliga
2022,2,3.75,0.3170830333178229,0,-10.0,-17.187397721985086,17.187397721985086,10.0,Bundesliga
2022,1,3.0,0.43991778068669324,0,-10.0,-39.96916775750997,39.96916775750997,10.0,Bundesliga
2022,X,4.0,0.331411411098885,0,-10.0,-27.137137032961668,27.137137032961668,10.0,Bundesliga
2022,1,3.2,0.4200780818013516,1,22.0,86.06246544108133,39.11930247321878,10.0,Bundesliga
2022,X,4.0,0.2668615051014072,0,-10.0,-5.620501700469072,5.620501700469072,10.0,Bundesliga
2022,1,15.0,0.1585421572623089,0,-10.0,-24.609506409547034,24.609506409547034,10.0,Bundesliga
2022,X,7.5,0.22888237167815118,0,-10.0,-27.56222259946669,27.56222259946669,10.0,Bundesliga
2022,2,3.2,0.35352071986672423,1,22.0,32.81657589337939,14.916625406081538,10.0,Bundesliga
2022,X,5.0,0.2315506041575998,0,-10.0,-9.859563799249932,9.859563799249932,10.0,Bundesliga
2022,X,6.0,0.18592511178949886,0,-10.0,-5.7775335368496545,5.7775335368496545,10.0,Bundesliga
2022,2,3.4,0.31634342132789933,0,-10.0,-7.8716283869643515,7.8716283869643515,10.0,Bundesliga
2022,X,7.5,0.20656320889494553,1,65.0,137.3060166780229,21.124002565849676,10.0,Bundesliga
2022,1,3.0,0.37945254800156464,1,20.0,34.58941100117347,17.294705500586733,10.0,Bundesliga
2022,X,5.25,0.24707599032231645,0,-10.0,-17.479349952480074,17.479349952480074,10.0,Bundesliga
2022,X,4.5,0.26288085174920334,0,-10.0,-13.068845205101066,13.068845205101066,10.0,Bundesliga
2022,1,3.5,0.40641051397459577,0,-10.0,-42.24367989110851,42.24367989110851,10.0,Bundesliga
2022,2,3.4,0.362295965973458,1,24.0,57.951571077439255,24.146487948933025,10.0,Bundesliga
2022,X,6.0,0.17775278187902663,1,50.0,16.629172818539928,3.3258345637079856,10.0,Bundesliga
2022,1,3.8,0.3737273869289249,0,-10.0,-37.514649136599516,37.514649136599516,10.0,Bundesliga
2022,1,4.0,0.3121322591009395,1,30.0,62.13225910093951,20.7107530336465,10.0,Bundesliga
2022,X,4.5,0.35979794343066357,0,-10.0,-44.22076753128473,44.22076753128473,10.0,Bundesliga
2022,1,4.2,0.261173217645654,0,-10.0,-7.572462039980212,7.572462039980212,10.0,Bundesliga
2022,1,5.25,0.27049966888177,0,-10.0,-24.71313303701722,24.71313303701722,10.0,Bundesliga
2022,X,4.5,0.24767241005945198,0,-10.0,-8.180417519109568,8.180417519109568,10.0,Bundesliga
2022,2,3.6,0.3280526235429712,1,26.0,45.24736118867411,17.40283122641312,10.0,Bundesliga
2022,X,10.0,0.20063263212316884,0,-10.0,-27.953508923102458,27.953508923102458,10.0,Bundesliga
2022,X,4.2,0.26750803904698744,0,-10.0,-9.651075312292756,9.651075312292756,10.0,Bundesliga
2022,1,7.0,0.24857426591363044,1,60.0,185.00496534885326,30.83416089147554,10.0,Bundesliga
2022,X,5.75,0.3925100101572403,0,-10.0,-50.0,50.0,10.0,Bundesliga
2022,1,3.3,0.48088800913769353,0,-10.0,-50.0,50.0,10.0,Bundesliga
2022,1,3.1,0.4278700521508749,0,-10.0,-38.85680496044195,38.85680496044195,10.0,Bundesliga
2022,2,3.25,0.32623584310328835,0,-10.0,-6.696276676187453,6.696276676187453,10.0,Bundesliga
2022,1,4.0,0.3168893682651481,0,-10.0,-22.296456088382694,22.296456088382694,10.0,Bundesliga
2022,2,3.6,0.31038695005543265,0,-10.0,-11.287790403803621,11.287790403803621,10.0,Bundesliga
2022,2,3.25,0.39893222881094176,0,-10.0,-32.947749292840086,32.947749292840086,10.0,Bundesliga
2022,2,3.2,0.3629027626911916,0,-10.0,-18.328277342251493,18.328277342251493,10.0,Bundesliga
2022,1,7.0,0.24004950515600057,0,-10.0,-28.347772337166834,28.347772337166834,10.0,Bundesliga
2022,X,5.25,0.20502783374032008,0,-10.0,-4.493889831569437,4.493889831569437,10.0,Bundesliga
